GENDER,AGE_6,AGE_12,EDUC,NOC_10,NAICS_21,PROV,FTPTMAIN,PERMTEMP,UNION,ESTSIZE,MARSTAT,HRLYEARN,SURVYEAR,SURVMNTH,YEAR,MONTH,FINALWT,source,HAS_VALID_WAGE,IS_FEMALE,IS_FULLTIME,IS_PERMANENT,IS_UNION,HAS_DEGREE,AGE_APPROX,EDUC_COMPLETE_AGE,EXPERIENCE_PROXY,EXPERIENCE_SQ,LOG_HRLYEARN,cpi,gdp_growth,unemployment,interest_rate,inflation,recession,covid,deflator,REAL_HRLYEARN,LOG_REAL_HRLYEARN,ECONOMIC_PERIOD,GENDER_LABEL,PROV_LABEL,EDUC_LABEL,AGE_6_LABEL,AGE_12_LABEL,NOC_10_LABEL,NAICS_21_LABEL,FTPTMAIN_LABEL,UNION_LABEL,PERMTEMP_LABEL,ESTSIZE_LABEL,MARSTAT_LABEL,PROV_ABBREV
1,2,4,3,8,91,24,1,4,3,2,6,17.81,2016,7,2016,7,1302.32,Synthetic,True,0,1,0,0,0,30,20,10,100,2.87976009730157,128.4,1.0,7.0,0.5,-22.18181818181818,0,0,0.9073208722741433,16.15938473520249,2.7825009790514645,oil_shock,Male,Quebec,Postsecondary certificate/diploma,25-34,30-34,Natural Resources/Agriculture,Public Administration,Full-time,Non-unionized,Casual,20-99 employees,"Single, never married",QC
1,4,8,0,2,48,59,2,1,3,6,4,27.25,2020,6,2020,6,1167.71,Synthetic,True,0,0,1,0,0,50,16,34,1156,3.305053521109253,137.0,-5.1,9.5,0.5,6.697819314641751,1,1,0.8503649635036497,23.172445255474454,3.1429638682868837,covid,Male,British Columbia,Less than high school,45-54,50-54,Natural/Applied Sciences,Transportation/Warehousing,Part-time,Non-unionized,Permanent,Unknown,Separated,BC
1,5,10,0,7,62,48,1,1,3,5,1,30.13,2014,10,2014,10,1489.2,Synthetic,True,0,1,1,0,0,60,16,44,1936,3.40552135314221,125.2,2.9,6.9,1.0,-8.613138686131382,0,0,0.9305111821086262,28.036301916932906,3.333500167481967,pre_crisis,Male,Alberta,Less than high school,55-64,60-64,Trades/Transport/Equipment,Health Care,Full-time,Non-unionized,Permanent,1000+ employees,Married,AB
1,3,6,5,6,12,35,1,1,3,4,6,35.24,2020,1,2020,1,1358.1,Synthetic,True,0,1,1,0,1,40,25,15,225,3.562181801067979,137.0,-5.1,9.5,0.5,9.424920127795522,1,1,0.8503649635036497,29.966861313868616,3.400092148245609,covid,Male,Ontario,Above bachelor's degree,35-44,40-44,Sales and Service,,Full-time,Non-unionized,Permanent,500-999 employees,"Single, never married",ON
2,4,8,4,2,29,35,1,1,1,4,1,48.49,2024,1,2024,1,1127.55,Synthetic,True,1,1,1,1,1,50,22,28,784,3.881357591117261,161.5,1.5,6.1,4.25,17.88321167883211,0,0,0.7213622291021672,34.978854489164085,3.554743721460305,stabilization,Female,Ontario,Bachelor's degree,45-54,50-54,Natural/Applied Sciences,,Full-time,Union member,Permanent,500-999 employees,Married,ON
1,6,12,3,2,73,10,1,1,3,5,6,30.4,2025,8,2025,8,1208.43,Synthetic,True,0,1,1,0,0,70,20,50,2500,3.414442608412176,165.0,1.8,6.3,3.75,2.1671826625387025,0,0,0.706060606060606,21.464242424242425,3.066388407517351,stabilization,Male,Newfoundland and Labrador,Postsecondary certificate/diploma,65+,70+,Natural/Applied Sciences,,Full-time,Non-unionized,Permanent,1000+ employees,"Single, never married",NL
1,6,12,1,4,77,59,1,1,2,1,3,29.41,2012,4,2012,4,831.37,Synthetic,True,0,1,1,0,0,70,18,52,2704,3.3813347525659037,121.7,1.8,7.3,1.0,-26.242424242424246,0,0,0.9572719802793755,28.153368940016435,3.3376670255781775,pre_crisis,Male,British Columbia,High school graduate,65+,70+,Education/Law/Social/Government,,Full-time,Covered by collective agreement,Permanent,<20 employees,Widowed,BC
2,4,8,4,1,33,48,1,1,3,4,1,59.27,2019,5,2019,5,1475.31,Synthetic,True,1,1,1,0,1,50,22,28,784,4.082103275799747,136.0,1.9,5.7,1.75,11.750205423171733,0,0,0.8566176470588235,50.77172794117647,3.92733966306945,recovery,Female,Alberta,Bachelor's degree,45-54,50-54,Business/Finance/Admin,Manufacturing,Full-time,Non-unionized,Permanent,500-999 employees,Married,AB
1,4,8,2,9,36,12,1,1,3,1,1,17.62,2014,7,2014,7,1053.92,Synthetic,True,0,1,1,0,0,50,19,31,961,2.8690346205080335,125.2,2.9,6.9,1.0,-7.941176470588229,0,0,0.9305111821086262,16.395607028753993,2.7970134348477904,pre_crisis,Male,Nova Scotia,Some postsecondary,45-54,50-54,Manufacturing/Utilities,,Full-time,Non-unionized,Permanent,<20 employees,Married,NS
1,2,4,3,7,40,24,1,1,1,1,2,34.6,2016,8,2016,8,1263.06,Synthetic,True,0,1,1,1,0,30,20,10,100,3.543853682063679,128.4,1.0,7.0,0.5,2.5559105431310014,0,0,0.9073208722741433,31.393302180685357,3.446594563813573,oil_shock,Male,Quebec,Postsecondary certificate/diploma,25-34,30-34,Trades/Transport/Equipment,,Full-time,Union member,Permanent,<20 employees,Common-law,QC
1,5,10,4,3,29,48,1,1,3,2,2,53.49,2014,10,2014,10,1266.87,Synthetic,True,0,1,1,0,1,60,22,38,1444,3.979494720543159,125.2,2.9,6.9,1.0,-2.492211838006231,0,0,0.9305111821086262,49.773043130990416,3.9074735348829157,pre_crisis,Male,Alberta,Bachelor's degree,55-64,60-64,Health,,Full-time,Non-unionized,Permanent,20-99 employees,Common-law,AB
1,3,6,2,2,49,24,1,3,3,4,6,28.17,2014,7,2014,7,839.86,Synthetic,True,0,1,0,0,0,40,19,21,441,3.338257581888281,125.2,2.9,6.9,1.0,0.0,0,0,0.9305111821086262,26.212500000000002,3.2662363962280385,pre_crisis,Male,Quebec,Some postsecondary,35-44,40-44,Natural/Applied Sciences,Transportation/Warehousing,Full-time,Non-unionized,Seasonal,500-999 employees,"Single, never married",QC
2,6,12,3,6,38,59,1,1,3,6,5,16.58,2018,2,2018,2,986.1,Synthetic,True,1,1,1,0,0,70,20,50,2500,2.8081971497071487,133.4,2.8,5.8,1.42,6.549520766773176,0,0,0.8733133433283358,14.479535232383805,2.6727362892313806,recovery,Female,British Columbia,Postsecondary certificate/diploma,65+,70+,Sales and Service,,Full-time,Non-unionized,Permanent,Unknown,Divorced,BC
1,1,2,5,4,83,59,1,1,3,4,2,35.63,2024,4,2024,4,1259.33,Synthetic,True,0,1,1,0,1,20,25,0,0,3.5731879796177446,161.5,1.5,6.1,4.25,21.064467766116945,0,0,0.7213622291021672,25.70213622291022,3.2465741099607888,stabilization,Male,British Columbia,Above bachelor's degree,15-24,20-24,Education/Law/Social/Government,,Full-time,Non-unionized,Permanent,500-999 employees,Common-law,BC
1,3,6,4,2,71,59,1,1,3,3,1,54.78,2012,10,2012,10,1438.51,Synthetic,True,0,1,1,0,1,40,22,18,324,4.0033251638349325,121.7,1.8,7.3,1.0,-24.643962848297207,0,0,0.9572719802793755,52.4393590797042,3.959657436847206,pre_crisis,Male,British Columbia,Bachelor's degree,35-44,40-44,Natural/Applied Sciences,Arts/Entertainment,Full-time,Non-unionized,Permanent,100-499 employees,Married,BC
2,3,6,2,4,58,46,1,1,1,3,5,20.03,2022,12,2022,12,1345.04,Synthetic,True,1,1,1,1,0,40,19,21,441,2.997231149677727,151.2,3.8,5.3,2.5,24.239934264585038,0,0,0.7705026455026456,15.433167989417992,2.7365189589380496,inflation,Female,Manitoba,Some postsecondary,35-44,40-44,Education/Law/Social/Government,,Full-time,Union member,Permanent,100-499 employees,Divorced,MB
1,3,6,2,8,89,35,2,1,3,5,2,19.56,2015,1,2015,1,1206.1,Synthetic,True,0,0,1,0,0,40,19,21,441,2.9734866646066713,126.6,0.7,6.9,0.63,-16.26984126984127,0,0,0.920221169036335,17.99952606635071,2.890345427902351,oil_shock,Male,Ontario,Some postsecondary,35-44,40-44,Natural Resources/Agriculture,,Part-time,Non-unionized,Permanent,1000+ employees,Common-law,ON
2,2,4,2,0,23,24,1,1,3,4,1,32.7,2010,10,2010,10,962.74,Synthetic,True,1,1,1,0,0,30,19,11,121,3.487375077903208,116.5,3.1,8.1,0.59,-7.977883096366501,0,0,1.0,32.7,3.487375077903208,pre_crisis,Female,Quebec,Some postsecondary,25-34,30-34,Management,Construction,Full-time,Non-unionized,Permanent,500-999 employees,Married,QC
1,4,8,2,3,21,46,1,1,1,3,5,43.66,2019,9,2019,9,1464.19,Synthetic,True,0,1,1,1,0,50,19,31,961,3.7764323511217976,136.0,1.9,5.7,1.75,16.73819742489271,0,0,0.8566176470588235,37.39992647058823,3.621668738391501,recovery,Male,Manitoba,Some postsecondary,45-54,50-54,Health,Mining/Oil/Gas,Full-time,Union member,Permanent,100-499 employees,Divorced,MB
1,4,8,3,9,50,35,1,1,3,2,6,29.97,2014,3,2014,3,1082.57,Synthetic,True,0,1,1,0,0,50,20,30,900,3.4001968813285717,125.2,2.9,6.9,1.0,-7.941176470588229,0,0,0.9305111821086262,27.887420127795526,3.328175695668329,pre_crisis,Male,Ontario,Postsecondary certificate/diploma,45-54,50-54,Manufacturing/Utilities,,Full-time,Non-unionized,Permanent,20-99 employees,"Single, never married",ON
2,4,8,3,0,61,35,1,4,1,4,5,32.1,2017,12,2017,12,904.93,Synthetic,True,1,1,0,1,0,50,20,30,900,3.4688560301359703,130.4,3.0,6.3,0.71,4.153354632587858,0,0,0.8934049079754601,28.67829754601227,3.356140653649173,recovery,Female,Ontario,Postsecondary certificate/diploma,45-54,50-54,Management,Education,Full-time,Union member,Casual,500-999 employees,Divorced,ON
2,2,4,1,8,80,24,1,2,1,1,1,15.69,2014,3,2014,3,815.15,Synthetic,True,1,1,0,1,0,30,18,12,144,2.753023566744941,125.2,2.9,6.9,1.0,-3.9877300613496924,0,0,0.9305111821086262,14.599720447284344,2.6810023810846983,pre_crisis,Female,Quebec,High school graduate,25-34,30-34,Natural Resources/Agriculture,,Full-time,Union member,Temporary,<20 employees,Married,QC
2,4,8,1,3,90,24,1,4,1,4,2,25.18,2018,10,2018,10,1465.11,Synthetic,True,1,1,0,1,0,50,18,32,1024,3.2260500286162013,133.4,2.8,5.8,1.42,6.549520766773176,0,0,0.8733133433283358,21.990029985007496,3.090589168140433,recovery,Female,Quebec,High school graduate,45-54,50-54,Health,,Full-time,Union member,Casual,500-999 employees,Common-law,QC
1,2,4,2,1,40,35,1,1,3,5,2,33.81,2020,9,2020,9,1344.54,Synthetic,True,0,1,1,0,0,30,19,11,121,3.520756616719795,137.0,-5.1,9.5,0.5,2.6986506746626615,1,1,0.8503649635036497,28.750839416058398,3.358666963897425,covid,Male,Ontario,Some postsecondary,25-34,30-34,Business/Finance/Admin,,Full-time,Non-unionized,Permanent,1000+ employees,Common-law,ON
1,2,4,3,0,40,48,2,1,1,1,6,37.8,2015,10,2015,10,951.47,Synthetic,True,0,0,1,1,0,30,20,10,100,3.632309102625542,126.6,0.7,6.9,0.63,-7.591240875912408,0,0,0.920221169036335,34.78436018957346,3.5491678659212216,oil_shock,Male,Alberta,Postsecondary certificate/diploma,25-34,30-34,Management,,Part-time,Union member,Permanent,<20 employees,"Single, never married",AB
2,4,8,3,0,88,35,2,1,3,1,6,40.36,2017,3,2017,3,899.24,Synthetic,True,1,0,1,0,0,50,20,30,900,3.6978391954854084,130.4,3.0,6.3,0.71,3.001579778830976,0,0,0.8934049079754601,36.05782208588957,3.585123818998611,recovery,Female,Ontario,Postsecondary certificate/diploma,45-54,50-54,Management,,Part-time,Non-unionized,Permanent,<20 employees,"Single, never married",ON
1,5,10,3,1,64,35,1,1,3,6,1,35.82,2019,8,2019,8,1471.63,Synthetic,True,0,1,1,0,0,60,20,40,1600,3.578506396632566,136.0,1.9,5.7,1.75,4.294478527607359,0,0,0.8566176470588235,30.68404411764706,3.423742783902269,recovery,Male,Ontario,Postsecondary certificate/diploma,55-64,60-64,Business/Finance/Admin,,Full-time,Non-unionized,Permanent,Unknown,Married,ON
1,3,6,4,0,17,35,1,1,3,5,6,44.22,2017,2,2017,2,968.55,Synthetic,True,0,1,1,0,1,40,22,18,324,3.7891771754293,130.4,3.0,6.3,0.71,-4.117647058823525,0,0,0.8934049079754601,39.50636503067484,3.676461798942503,recovery,Male,Ontario,Bachelor's degree,35-44,40-44,Management,,Full-time,Non-unionized,Permanent,1000+ employees,"Single, never married",ON
1,3,6,4,3,77,12,1,1,1,2,5,48.9,2022,3,2022,3,1123.36,Synthetic,True,0,1,1,1,1,40,22,18,324,3.8897773964808264,151.2,3.8,5.3,2.5,15.95092024539877,0,0,0.7705026455026456,37.67757936507937,3.629065205741149,inflation,Male,Nova Scotia,Bachelor's degree,35-44,40-44,Health,,Full-time,Union member,Permanent,20-99 employees,Divorced,NS
1,2,4,3,0,20,59,1,2,3,2,2,48.9,2012,2,2012,2,1227.6,Synthetic,True,0,1,0,0,0,30,20,10,100,3.8897773964808264,121.7,1.8,7.3,1.0,-19.510582010582,0,0,0.9572719802793755,46.81059983566146,3.8461096694931003,pre_crisis,Male,British Columbia,Postsecondary certificate/diploma,25-34,30-34,Management,,Full-time,Non-unionized,Temporary,20-99 employees,Common-law,BC
2,3,6,1,6,71,35,1,1,3,2,5,22.81,2016,1,2016,1,843.67,Synthetic,True,1,1,1,0,0,40,18,22,484,3.1271990362962967,128.4,1.0,7.0,0.5,5.5053410024650695,0,0,0.9073208722741433,20.695989096573207,3.0299399180461912,oil_shock,Female,Ontario,High school graduate,35-44,40-44,Sales and Service,Arts/Entertainment,Full-time,Non-unionized,Permanent,20-99 employees,Divorced,ON
1,2,4,3,7,47,24,1,1,3,3,2,25.86,2023,2,2023,2,1041.1,Synthetic,True,0,1,1,0,0,30,20,10,100,3.2526973733437115,157.1,1.2,5.4,4.75,22.352024922118364,0,0,0.7415658816040739,19.17689369828135,2.9537061010878913,inflation,Male,Quebec,Postsecondary certificate/diploma,25-34,30-34,Trades/Transport/Equipment,,Full-time,Non-unionized,Permanent,100-499 employees,Common-law,QC
2,6,12,2,8,25,24,1,1,1,5,6,19.63,2016,8,2016,8,1460.55,Synthetic,True,1,1,1,1,0,70,19,51,2601,2.9770590082883697,128.4,1.0,7.0,0.5,-18.268618714194773,0,0,0.9073208722741433,17.81070872274143,2.879799890038264,oil_shock,Female,Quebec,Some postsecondary,65+,70+,Natural Resources/Agriculture,,Full-time,Union member,Permanent,1000+ employees,"Single, never married",QC
1,5,10,1,5,60,59,2,4,1,2,2,20.74,2023,9,2023,9,1290.24,Synthetic,True,0,0,0,1,0,60,18,42,1764,3.032064202801381,157.1,1.2,5.4,4.75,22.352024922118364,0,0,0.7415658816040739,15.380076384468492,2.733072930545561,inflation,Male,British Columbia,High school graduate,55-64,60-64,Art/Culture/Recreation/Sport,,Part-time,Union member,Casual,20-99 employees,Common-law,BC
2,4,8,5,9,14,35,1,1,2,5,5,43.16,2019,2,2019,2,1057.45,Synthetic,True,1,1,1,0,1,50,25,25,625,3.764914140389934,136.0,1.9,5.7,1.75,-13.43093570973901,0,0,0.8566176470588235,36.97161764705882,3.6101505276596373,recovery,Female,Ontario,Above bachelor's degree,45-54,50-54,Manufacturing/Utilities,,Full-time,Covered by collective agreement,Permanent,1000+ employees,Divorced,ON
2,3,6,2,0,52,24,1,4,3,6,1,46.03,2021,7,2021,7,1354.21,Synthetic,True,1,1,0,0,0,40,19,21,441,3.82929335782915,141.6,5.0,7.5,0.25,4.117647058823515,0,1,0.8227401129943503,37.87072740112995,3.6341784495752862,covid,Female,Quebec,Some postsecondary,35-44,40-44,Management,Finance/Insurance,Full-time,Non-unionized,Casual,Unknown,Married,QC
1,4,8,3,1,78,35,1,4,1,2,6,37.84,2015,5,2015,5,1386.03,Synthetic,True,0,1,0,1,0,50,20,30,900,3.6333667441836774,126.6,0.7,6.9,0.63,-10.593220338983055,0,0,0.920221169036335,34.82116903633492,3.5502255074793574,oil_shock,Male,Ontario,Postsecondary certificate/diploma,45-54,50-54,Business/Finance/Admin,,Full-time,Union member,Casual,20-99 employees,"Single, never married",ON
2,3,6,3,2,20,24,1,1,3,1,3,26.79,2021,3,2021,3,906.25,Synthetic,True,1,1,1,0,0,40,20,20,400,3.2880286835565173,141.6,5.0,7.5,0.25,11.848341232227488,0,1,0.8227401129943503,22.041207627118645,3.0929137753026534,covid,Female,Quebec,Postsecondary certificate/diploma,35-44,40-44,Natural/Applied Sciences,,Full-time,Non-unionized,Permanent,<20 employees,Widowed,QC
2,2,4,1,7,32,12,1,2,3,5,6,13.96,2016,9,2016,9,1210.62,Synthetic,True,1,1,0,0,0,30,18,12,144,2.6361960973342264,128.4,1.0,7.0,0.5,-9.322033898305083,0,0,0.9073208722741433,12.666199376947041,2.538936979084121,oil_shock,Female,Nova Scotia,High school graduate,25-34,30-34,Trades/Transport/Equipment,Manufacturing,Full-time,Non-unionized,Temporary,1000+ employees,"Single, never married",NS
2,2,4,0,8,41,48,1,1,3,4,2,13.95,2023,6,2023,6,1056.73,Synthetic,True,1,1,1,0,0,30,16,14,196,2.6354795082673745,157.1,1.2,5.4,4.75,22.352024922118364,0,0,0.7415658816040739,10.34484404837683,2.3364882360115544,inflation,Female,Alberta,Less than high school,25-34,30-34,Natural Resources/Agriculture,Wholesale Trade,Full-time,Non-unionized,Permanent,500-999 employees,Common-law,AB
2,4,8,3,6,86,24,1,1,3,1,1,22.76,2011,11,2011,11,1154.8,Synthetic,True,1,1,1,0,0,50,20,30,900,3.1250046092581303,119.9,3.1,7.5,1.0,-23.679185232336085,0,0,0.9716430358632193,22.114595496246874,3.096237820230417,pre_crisis,Female,Quebec,Postsecondary certificate/diploma,45-54,50-54,Sales and Service,,Full-time,Non-unionized,Permanent,<20 employees,Married,QC
2,5,10,1,4,83,48,1,1,3,4,2,20.04,2018,1,2018,1,1128.34,Synthetic,True,1,1,1,0,0,60,18,42,1764,2.997730276216664,133.4,2.8,5.8,1.42,11.25938281901584,0,0,0.8733133433283358,17.501199400299846,2.862269415740896,recovery,Female,Alberta,High school graduate,55-64,60-64,Education/Law/Social/Government,,Full-time,Non-unionized,Permanent,500-999 employees,Common-law,AB
2,2,4,1,6,38,35,2,3,3,5,2,13.19,2019,5,2019,5,1152.68,Synthetic,True,1,0,0,0,0,30,18,12,144,2.579458966729223,136.0,1.9,5.7,1.75,1.9490254872563728,0,0,0.8566176470588235,11.29878676470588,2.4246953539989264,recovery,Female,Ontario,High school graduate,25-34,30-34,Sales and Service,,Part-time,Non-unionized,Seasonal,1000+ employees,Common-law,ON
1,2,4,5,1,79,24,2,1,3,1,2,31.69,2019,7,2019,7,1165.36,Synthetic,True,0,0,1,0,1,30,25,5,25,3.4560011737028296,136.0,1.9,5.7,1.75,0.0,0,0,0.8566176470588235,27.146213235294116,3.3012375609725324,recovery,Male,Quebec,Above bachelor's degree,25-34,30-34,Business/Finance/Admin,,Part-time,Non-unionized,Permanent,<20 employees,Common-law,QC
1,3,6,3,4,90,48,1,1,3,2,2,36.7,2010,4,2010,4,848.48,Synthetic,True,0,1,1,0,0,40,20,20,400,3.6027767550605247,116.5,3.1,8.1,0.59,-14.338235294117652,0,0,1.0,36.7,3.6027767550605247,pre_crisis,Male,Alberta,Postsecondary certificate/diploma,35-44,40-44,Education/Law/Social/Government,,Full-time,Non-unionized,Permanent,20-99 employees,Common-law,AB
1,5,10,0,5,29,35,1,1,3,2,1,19.87,2010,8,2010,8,924.39,Synthetic,True,0,1,1,0,0,60,16,44,1936,2.9892110565637253,116.5,3.1,8.1,0.59,0.0,0,0,1.0,19.87,2.9892110565637253,pre_crisis,Male,Ontario,Less than high school,55-64,60-64,Art/Culture/Recreation/Sport,,Full-time,Non-unionized,Permanent,20-99 employees,Married,ON
1,2,4,2,1,88,46,1,1,3,6,6,28.35,2012,10,2012,10,1196.34,Synthetic,True,0,1,1,0,0,30,19,11,121,3.3446270301737613,121.7,1.8,7.3,1.0,4.463519313304731,0,0,0.9572719802793755,27.1386606409203,3.300959303186035,pre_crisis,Male,Manitoba,Some postsecondary,25-34,30-34,Business/Finance/Admin,,Full-time,Non-unionized,Permanent,Unknown,"Single, never married",MB
1,2,4,3,0,57,48,1,1,3,2,1,41.03,2023,5,2023,5,1455.22,Synthetic,True,0,1,1,0,0,30,20,10,100,3.714303506454095,157.1,1.2,5.4,4.75,29.08792111750205,0,0,0.7415658816040739,30.426448122215152,3.4153122341982747,inflation,Male,Alberta,Postsecondary certificate/diploma,25-34,30-34,Management,,Full-time,Non-unionized,Permanent,20-99 employees,Married,AB
1,4,8,2,7,34,59,1,4,3,2,6,33.09,2024,9,2024,9,1322.56,Synthetic,True,0,1,0,0,0,50,19,31,961,3.499231121933521,161.5,1.5,6.1,4.25,2.800763844684928,0,0,0.7213622291021672,23.869876160990714,3.1726172522765648,stabilization,Male,British Columbia,Some postsecondary,45-54,50-54,Trades/Transport/Equipment,,Full-time,Non-unionized,Casual,20-99 employees,"Single, never married",BC
2,3,6,0,5,66,24,1,1,3,1,6,24.35,2012,9,2012,9,967.05,Synthetic,True,1,1,1,0,0,40,16,24,576,3.192531849528599,121.7,1.8,7.3,1.0,-24.643962848297207,0,0,0.9572719802793755,23.309572719802794,3.1488641225408727,pre_crisis,Female,Quebec,Less than high school,35-44,40-44,Art/Culture/Recreation/Sport,,Full-time,Non-unionized,Permanent,<20 employees,"Single, never married",QC
